央视高清,#genre#
CCTV9,http://36.158.166.3:8089/180000001002/00000001000000000008000000047438/main.m3u8
CCTV10,http://36.158.166.3:8089/180000001002/00000001000000000008000000047439/main.m3u8
CCTV11,http://36.158.166.3:8089/180000001002/00000001000000000026000000446966/main.m3u8
CCTV12,http://36.158.166.3:8089/180000001002/00000001000000000008000000047440/main.m3u8
CCTV13,http://36.158.166.3:8089/180000001002/00000001000000000050000000133801/main.m3u8
CCTV14,http://36.158.166.3:8089/180000001002/00000001000000000008000000047441/main.m3u8
CCTV15,http://36.158.166.3:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV16,http://36.158.166.3:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV17高清,http://36.158.166.3:8089/180000001002/00000001000000000025000000024152/main.m3u8
CGTN,http://36.158.166.3:8089/180000001002/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://36.158.166.3:8089/180000001002/00000000000000020000000000182305/main.m3u8
CETV-1,http://36.158.166.3:8089/180000001002/00000001000000000016000000007220/main.m3u8
CETV-2,http://36.158.166.3:8089/180000001002/00000001000000000024000000361367/main.m3u8
CETV-4,http://36.158.166.3:8089/180000001002/00000001000000000024000000361368/main.m3u8
CGTN西班牙语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305582/main.m3u8
CGTN法语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305586/main.m3u8
CGTN阿拉伯语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305587/main.m3u8
CGTN俄语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305589/main.m3u8
CCTV-兵器科技,http://39.134.246.5:6610/180000001001/00000001000000000091000000244796/index.m3u8?fmt=ts2hls
CCTV电视指南,http://39.134.246.5:6610/180000001001/00000001000000000091000000244797/index.m3u8?fmt=ts2hls
CCTV-风云足球,http://39.134.246.5:6610/180000001001/00000001000000000091000000244800/index.m3u8?fmt=ts2hls
CCTV-央视台球,http://39.134.246.5:6610/180000001001/00000001000000000091000000244803/index.m3u8?fmt=ts2hls
CCTV-世界地理,http://39.134.246.5:6610/180000001001/00000001000000000091000000244805/index.m3u8?fmt=ts2hls
CCTV-怀旧剧场,http://39.134.246.5:6610/180000001001/00000001000000000091000000244806/index.m3u8?fmt=ts2hls
CCTV-风云剧场,http://39.134.246.5:6610/180000001001/00000001000000000091000000244807/index.m3u8?fmt=ts2hls
CCTV-第一剧场,http://39.134.246.5:6610/180000001001/00000001000000000091000000244808/index.m3u8?fmt=ts2hls
CCTV-风云音乐,http://39.134.246.5:6610/180000001001/00000001000000000091000000244809/index.m3u8?fmt=ts2hls
CCTV-女性时尚,http://39.134.246.5:6610/180000001001/00000001000000000091000000244811/index.m3u8?fmt=ts2hls
CCTV-高尔夫网,http://39.134.246.5:6610/180000001001/00000001000000000091000000244801/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://39.134.246.5:6610/180000001001/00000001000000000091000000244810/index.m3u8?fmt=ts2hls

凤凰高清,#genre#
凤凰中文,http://183.207.248.71/PLTV/3/224/3221228527/1.m3u8
凤凰资讯,http://223.105.252.60/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://223.105.252.60/PLTV/3/224/3221228530/1.m3u8
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
POPC,http://207.148.88.219:81/live/popc.m3u8?kdstime=1728802789&kdssign=a8f70f88c4b7b3baf38e3b74f4b8dee4
CHC动作电影,http://cg0.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316076&srchost=172.16.22.158:8060&gid=ZF3q5L%2FmYWch1qWqTIPAjw%3D%3D
CHC家庭影院,http://cg11.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604316833&srchost=172.16.22.158:8060&gid=c%2BNqgq8pR1ZQ7ZzcmkS8%2BQ%3D%3D
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D

卫视高清,#genre#
东方卫视,http://39.134.240.3/PLTV/2/224/3221226208/index.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221226204/index.m3u8
江苏卫视,http://39.134.240.3/PLTV/2/224/3221226136/index.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221226148/index.m3u8
山东卫视,http://39.134.240.3/PLTV/2/224/3221226214/index.m3u8
深圳卫视,http://39.134.240.3/PLTV/2/224/3221226210/index.m3u8
深圳卫视,http://39.134.240.3/PLTV/2/224/3221225892/index.m3u8
天津卫视,http://39.134.240.3/PLTV/2/224/3221226206/index.m3u8
黑龙江卫视,http://39.134.240.3/PLTV/2/224/3221226216/index.m3u8
湖北卫视,http://39.134.240.3/PLTV/2/224/3221226212/index.m3u8
湖南卫视,http://39.134.240.3/PLTV/2/224/3221226324/index.m3u8
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
湖南卫视,http://39.134.240.3/PLTV/2/224/3221226132/index.m3u8
湖南卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001242/index.m3u8?
湖南卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001242/main.m3u8
北京卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047443/index.m3u8?
天津卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047444/index.m3u8?
东方卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047445/index.m3u8?
深圳卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047446/index.m3u8?
湖北卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047447/index.m3u8?
山东卫视,http://183.215.116.134:6610/180000001001/00000001000000000008000000047448/index.m3u8?
江苏卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001244/index.m3u8?
浙江卫视,http://183.215.116.134:6610/180000001001/00000001000000000007000000001250/index.m3u8?
江苏卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000043/main.m3u8
浙江卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000042/main.m3u8
安徽卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000063659/main.m3u8
北京卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000062/main.m3u8
天津卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000063/main.m3u8
东方卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000064/main.m3u8
江西卫视高清,http://111.23.232.117:80/180000001001/00000001000000000060000000023691/main.m3u8
深圳卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000065/main.m3u8
辽宁卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000063293/main.m3u8
东南卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000062999/main.m3u8
海南卫视,http://111.23.232.117:80/180000001001/00000001000000000052000000446859/main.m3u8
广东卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000062997/main.m3u8
湖北卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000066/main.m3u8
广西卫视,http://111.23.232.117:80/180000001001/00000001000000000085000000234241/main.m3u8
山东卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000067/main.m3u8
四川卫视,http://111.23.232.117:80/180000001001/00000001000000000060000000023709/main.m3u8
重庆卫视,http://111.23.232.117:80/180000001001/00000001000000000060000000023723/main.m3u8
云南卫视,http://111.23.232.117:80/180000001001/00000001000000000085000000234257/main.m3u8
河南卫视,http://111.23.232.117:80/180000001001/00000001000000000052000000446842/main.m3u8
黑龙江卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000068/main.m3u8
贵州卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000062998/main.m3u8
河北卫视,http://111.23.232.117:80/180000001001/00000001000000001007000000063290/main.m3u8
吉林卫视,http://111.23.232.117:80/180000001001/00000001000000000052000000446840/main.m3u8
陕西卫视,http://111.23.232.117:80/180000001001/00000001000000000085000000234258/main.m3u8
山西卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000014/main.m3u8
内蒙古卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000015/main.m3u8
宁夏卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000016/main.m3u8
西藏卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000017/main.m3u8
新疆卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000018/main.m3u8
甘肃卫视,http://111.23.232.117:80/180000001001/00000001000000000045000000287932/main.m3u8
卡酷少儿,http://111.23.232.117:80/180000001001/00000001000000000085000000234259/main.m3u8
优漫卡通,http://111.23.232.117:80/180000001001/00000000000000020000000000182321/main.m3u8
青海卫视,http://111.23.232.117:80/180000001001/00000001000000000085000000234260/main.m3u8
大湾区卫视,http://111.23.232.117:80/180000001001/00000001000000001001000000000021/main.m3u8

地方与少儿,#genre#
湖南都市,http://39.134.240.3/PLTV/2/224/3221226146/index.m3u8 
湖南经视,http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8 
湖南电视剧,http://39.134.240.3/PLTV/2/224/3221226138/index.m3u8 
湖南电影,http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8 
湖南娱乐,http://39.134.240.3/PLTV/2/224/3221226144/index.m3u8 
湖南爱晚,http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8 
湖南国际,http://39.134.240.3/PLTV/2/224/3221226194/index.m3u8 
金鹰卡通,http://39.134.240.3/PLTV/2/224/3221226142/index.m3u8 
快乐垂钓,http://39.134.240.3/PLTV/2/224/3221226348/index.m3u8 
长沙新闻频道,http://39.134.240.3/PLTV/2/224/3221226200/index.m3u8 
长沙政法频道,http://39.134.240.3/PLTV/2/224/3221226202/index.m3u8 
浏阳新闻,http://39.134.240.3/PLTV/2/224/3221226092/index.m3u8 
快乐购,http://39.134.240.3/PLTV/2/224/3221226196/index.m3u8 
湖南经视,http://39.134.240.3/PLTV/2/224/3221225884/index.m3u8 
湖南经视,http://36.158.166.3:8089/180000001002/00000001000000000002000000113182/main.m3u8
湖南都市,http://36.158.166.3:8089/180000001002/00000001000000000007000000001249/main.m3u8
湖南电视剧,http://36.158.166.3:8089/180000001002/00000001000000000007000000001245/main.m3u8
湖南电影,http://36.158.166.3:8089/180000001002/00000001000000000007000000001246/main.m3u8
湖南娱乐,http://36.158.166.3:8089/180000001002/00000001000000000007000000001248/main.m3u8
金鹰纪实,http://36.158.166.3:8089/180000001002/00000001000000000016000000007228/main.m3u8
湖南爱晚,http://36.158.166.3:8089/180000001002/00000001000000000008000000047425/main.m3u8
湖南国际,http://36.158.166.3:8089/180000001002/00000001000000000008000000047426/main.m3u8
金鹰卡通,http://36.158.166.3:8089/180000001002/00000001000000000007000000001247/main.m3u8
快乐购,http://36.158.166.3:8089/180000001002/00000001000000000008000000047427/main.m3u8
湖南教育,http://36.158.166.3:8089/180000001002/00000001000000000023000000196697/main.m3u8
嘉丽购,http://36.158.166.3:8089/180000001002/00000001000000000008000000047453/main.m3u8
茶频道,http://36.158.166.3:8089/180000001002/00000001000000000025000000316196/main.m3u8
长沙新闻,http://36.158.166.3:8089/180000001002/00000001000000000008000000047429/main.m3u8
长沙政法,http://36.158.166.3:8089/180000001002/00000001000000000008000000047430/main.m3u8
长沙政法,http://36.158.166.3:8089/180000001002/00000000000000020000000000182540/main.m3u8
湖南经视,http://111.23.232.117:80/180000001001/00000001000000001002000000059679/main.m3u8
湖南都市,http://111.23.232.117:80/180000001001/00000001000000001001000000000041/main.m3u8
湖南电视剧,http://111.23.232.117:80/180000001001/00000001000000001001000000000037/main.m3u8
湖南电影,http://111.23.232.117:80/180000001001/00000001000000001001000000000038/main.m3u8
湖南娱乐,http://111.23.232.117:80/180000001001/00000001000000001001000000000040/main.m3u8
金鹰纪实,http://111.23.232.117:80/180000001001/00000001000000001007000000063477/main.m3u8
湖南爱晚,http://111.23.232.117:80/180000001001/00000001000000001001000000000044/main.m3u8
湖南国际,http://111.23.232.117:80/180000001001/00000001000000001001000000000045/main.m3u8
金鹰卡通,http://111.23.232.117:80/180000001001/00000001000000001001000000000039/main.m3u8
快乐购,http://111.23.232.117:80/180000001001/00000001000000001001000000000046/main.m3u8
湖南教育,http://111.23.232.117:80/180000001001/00000001000000001016000000368716/main.m3u8
嘉丽购,http://111.23.232.117:80/180000001001/00000001000000001001000000000072/main.m3u8
茶频道,http://111.23.232.117:80/180000001001/00000001000000001019000000025367/main.m3u8
卡酷少儿,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000090000000215608/index.m3u8
嘉佳卡通,http://36.158.166.3:8089/180000001002/00000001000000000022000000381025/main.m3u8
天元围棋,http://36.158.166.3:8089/180000001002/00000001000000000010000000040365/main.m3u8
梨园,http://36.158.166.3:8089/180000001002/00000001000000000064000000308847/main.m3u8
四海钓鱼,http://36.158.166.3:8089/180000001002/00000001000000000010000000040367/main.m3u8
快乐垂钓,http://36.158.166.3:8089/180000001002/00000001000000000010000000040368/main.m3u8
文物宝库,http://36.158.166.3:8089/180000001002/00000001000000000064000000308848/main.m3u8
百姓健康,http://36.158.166.3:8089/180000001002/00000001000000000010000000040371/main.m3u8
新动漫,http://36.158.166.3:8089/180000001002/00000001000000000050000000448837/main.m3u8
优优宝贝,http://36.158.166.3:8089/180000001002/00000001000000000010000000040377/main.m3u8
老故事,http://36.158.166.3:8089/180000001002/00000001000000000050000000448839/main.m3u8
家庭理财,http://36.158.166.3:8089/180000001002/00000001000000000010000000040379/main.m3u8
财富天下,http://36.158.166.3:8089/180000001002/00000001000000000010000000040380/main.m3u8
武术世界,http://36.158.166.3:8089/180000001002/00000001000000000064000000308859/main.m3u8
家庭影院,http://36.158.166.3:8089/180000001002/00000001000000000050000000448840/main.m3u8
影迷电影,http://36.158.166.3:8089/180000001002/00000001000000000050000000448841/main.m3u8
动作电影,http://36.158.166.3:8089/180000001002/00000001000000000050000000448842/main.m3u8
书画,http://36.158.166.3:8089/180000001002/00000001000000000050000000448843/main.m3u8
靓妆,http://36.158.166.3:8089/180000001002/00000001000000000064000000308865/main.m3u8
中华特产,http://36.158.166.3:8089/180000001002/00000001000000000050000000448845/main.m3u8
环球旅游,http://36.158.166.3:8089/180000001002/00000001000000000064000000308870/main.m3u8
车迷,http://36.158.166.3:8089/180000001002/00000001000000000064000000308873/main.m3u8
第一剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244808/main.m3u8
风云剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244807/main.m3u8
风云音乐,http://36.158.166.3:8089/180000001002/00000001000000000091000000244809/main.m3u8
风云足球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244800/main.m3u8
怀旧剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244806/main.m3u8
女性时尚,http://36.158.166.3:8089/180000001002/00000001000000000091000000244811/main.m3u8
央视文化精品,http://36.158.166.3:8089/180000001002/00000001000000000091000000244810/main.m3u8
世界地理,http://36.158.166.3:8089/180000001002/00000001000000000091000000244805/main.m3u8
央视台球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244803/main.m3u8
兵器科技,http://36.158.166.3:8089/180000001002/00000001000000000091000000244796/main.m3u8
电视指南,http://36.158.166.3:8089/180000001002/00000001000000000091000000244797/main.m3u8
高尔夫网球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244801/main.m3u8
先锋乒羽,http://36.158.166.3:8089/180000001002/00000000000000020000000000182319/main.m3u8
茶频道,http://36.158.166.3:8089/180000001002/00000001000000000003000000104063/main.m3u8
中国天气,http://36.158.166.3:8089/180000001002/00000001000000000004000000182438/main.m3u8


